date,i,symbol,Open,High,Low,Adj Close,Volume,OpenInterest,nifty,niftyHigh,niftyLow,option_type,strike,expiry
2023-05-30 09:21:02+05:30,122,NIFTY01JUN2318400CE,240.8,241.8,240.8,241.8,2000,2532000.0,18620.35,18620.8,18620.35,CE,18400,2023-06-01
2023-05-30 09:21:04+05:30,123,NIFTY01JUN2318400CE,241.6,241.6,241.2,241.2,5300,2532000.0,18620.75,18620.75,18619.9,CE,18400,2023-06-01
2023-05-30 09:21:06+05:30,124,NIFTY01JUN2318400CE,241.4,241.95,241.4,241.95,300,2532000.0,18620.4,18620.45,18620.4,CE,18400,2023-06-01
2023-05-30 09:21:08+05:30,125,NIFTY01JUN2318400CE,241.0,241.0,240.2,240.2,3050,2532000.0,18619.25,18619.45,18619.25,CE,18400,2023-06-01
2023-05-30 09:21:10+05:30,126,NIFTY01JUN2318400CE,238.9,240.05,238.9,240.05,1350,2532000.0,18618.85,18618.85,18618.85,CE,18400,2023-06-01
2023-05-30 09:21:12+05:30,127,NIFTY01JUN2318400CE,241.0,241.0,241.0,241.0,550,2532000.0,18619.65,18619.65,18618.2,CE,18400,2023-06-01
2023-05-30 09:21:14+05:30,128,NIFTY01JUN2318400CE,241.0,241.5,241.0,241.5,2050,2532000.0,18619.25,18619.25,18619.05,CE,18400,2023-06-01
2023-05-30 09:21:16+05:30,129,NIFTY01JUN2318400CE,242.3,242.3,242.3,242.3,1600,2532000.0,18620.1,18620.1,18619.6,CE,18400,2023-06-01
2023-05-30 09:21:18+05:30,130,NIFTY01JUN2318400CE,242.2,242.2,241.95,241.95,1200,2532000.0,18622.5,18622.5,18620.2,CE,18400,2023-06-01
2023-05-30 09:21:20+05:30,131,NIFTY01JUN2318400CE,243.05,243.05,242.0,242.0,250,2532000.0,18622.2,18622.2,18621.85,CE,18400,2023-06-01
2023-05-30 09:21:22+05:30,132,NIFTY01JUN2318400CE,242.0,242.3,242.0,242.3,1750,2532000.0,18621.85,18621.85,18621.45,CE,18400,2023-06-01
2023-05-30 09:21:24+05:30,133,NIFTY01JUN2318400CE,242.3,242.3,242.3,242.3,800,2532000.0,18621.0,18621.0,18621.0,CE,18400,2023-06-01
2023-05-30 09:21:26+05:30,134,NIFTY01JUN2318400CE,243.45,243.9,243.45,243.9,1500,2532000.0,18623.55,18623.55,18622.35,CE,18400,2023-06-01
2023-05-30 09:21:28+05:30,135,NIFTY01JUN2318400CE,244.0,244.4,244.0,244.4,600,2532000.0,18624.15,18624.15,18623.45,CE,18400,2023-06-01
2023-05-30 09:21:30+05:30,136,NIFTY01JUN2318400CE,244.4,244.95,244.4,244.95,300,2532000.0,18624.3,18624.3,18624.15,CE,18400,2023-06-01
2023-05-30 09:21:32+05:30,137,NIFTY01JUN2318400CE,244.0,245.0,244.0,245.0,500,2532000.0,18625.15,18625.15,18624.95,CE,18400,2023-06-01
2023-05-30 09:21:34+05:30,138,NIFTY01JUN2318400CE,244.3,244.3,244.3,244.3,150,2532000.0,18626.1,18626.1,18626.1,CE,18400,2023-06-01
2023-05-30 09:21:36+05:30,139,NIFTY01JUN2318400CE,245.25,245.85,245.25,245.85,2900,2532000.0,18625.85,18625.85,18625.4,CE,18400,2023-06-01
2023-05-30 09:21:38+05:30,140,NIFTY01JUN2318400CE,245.2,245.2,244.9,244.9,1750,2532000.0,18626.85,18626.85,18626.8,CE,18400,2023-06-01
2023-05-30 09:21:40+05:30,141,NIFTY01JUN2318400CE,245.0,245.0,243.7,243.7,2700,2532000.0,18626.35,18626.7,18626.35,CE,18400,2023-06-01
2023-05-30 09:21:42+05:30,142,NIFTY01JUN2318400CE,243.4,243.95,243.4,243.95,800,2532000.0,18624.85,18624.85,18624.45,CE,18400,2023-06-01
2023-05-30 09:21:44+05:30,143,NIFTY01JUN2318400CE,244.5,245.25,244.5,245.25,1300,2532000.0,18625.25,18625.35,18625.25,CE,18400,2023-06-01
